,PLAYER,INJURY,ESTIMATED RETURN,Updated,DATE_BACK
0,Matt Crouch,Groin,3-5 weeks,"Tuesday, April 13",2021-05-18 00:00:00
1,Lochlan Gollant,Finger,8-10 weeks,"Tuesday, April 13",2021-06-22 00:00:00
2,Mitch Hinge,Shoulder,Season,"Tuesday, April 13",2024-01-01 00:00:00
3,Shane McAdam,SC joint,Test,"Tuesday, April 13",2021-05-13
4,Wayne Milera,Knee,Season,"Tuesday, April 13",2024-01-01 00:00:00
5,Rory Sloane,Eye,2-4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
6,Brodie Smith,Knee,Test,"Tuesday, April 13",2021-05-13
7,Daniel Talia,Foot,7-9 weeks,"Tuesday, April 13",2021-06-15 00:00:00
0,Connor McFadyen,Knee,5-6 weeks,"Tuesday, April 13",2021-05-25 00:00:00
1,Dan McStay,Knee,Test,"Tuesday, April 13",2021-05-13
2,Cam Rayner,Knee,Season,"Tuesday, April 13",2024-01-01 00:00:00
0,Jack Carroll,Thumb,2-3 weeks,"Tuesday, April 13",2021-05-04 00:00:00
1,David Cuningham,Concussion,Test,"Tuesday, April 13",2021-05-13
2,Charlie Curnow,Knee,Indefinite,"Tuesday, April 13",2024-01-01 00:00:00
3,Tom De Koning,Back,1-2 weeks,"Tuesday, April 13",2021-04-27 00:00:00
4,Zac Fisher,Ankle,4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
5,Brodie Kemp,Foot,5-6 weeks,"Tuesday, April 13",2021-05-25 00:00:00
6,Caleb Marchbank,Knee,Season,"Tuesday, April 13",2024-01-01 00:00:00
7,Jack Martin,Knee,4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
8,Oscar McDonald,Back,12 weeks,"Tuesday, April 13",2021-07-06 00:00:00
9,Nic Newman,Knee,2-3 weeks,"Tuesday, April 13",2021-05-04 00:00:00
10,Jack Silvagni,Shoulder,TBC,"Tuesday, April 13",2021-05-13
11,Zac Williams,Calf,Test,"Tuesday, April 13",2021-05-13
0,Taylor Adams,Knee,10-12 weeks,"Tuesday, April 13",2021-07-06 00:00:00
1,Trent Bianco,Knee,2-4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
2,Jamie Elliott,Leg,10-12 weeks,"Tuesday, April 13",2021-07-06 00:00:00
0,Jye Caldwell,Hamstring,4-6 weeks,"Tuesday, April 13",2021-05-25 00:00:00
1,Dylan Clarke,Ankle,Test,"Tuesday, April 13",2021-05-13
2,Sam Draper,Ankle,6-8 weeks,"Tuesday, April 13",2021-06-08 00:00:00
3,Michael Hurley,Hip,Indefinite,"Tuesday, April 13",2024-01-01 00:00:00
4,Mason Redman,Hamstring,Test,"Tuesday, April 13",2021-05-13
5,Dylan Shiel,Knee,4 months,"Tuesday, April 13",2021-08-13 00:00:00
6,James Stewart,Hamstring,1-2 weeks,"Tuesday, April 13",2021-04-27 00:00:00
7,Irving Mosquito,Knee,4-5 months,"Tuesday, April 13",2021-09-13 00:00:00
0,Brett Bewley,Groin,2 weeks,"Tuesday, April 13",2021-04-27 00:00:00
1,Joel Hamling,Ankle,1-3 weeks,"Tuesday, April 13",2021-05-04 00:00:00
2,Stephen Hill,Hamstring,TBA,"Tuesday, April 13",2021-05-13
3,Rory Lobb,Knee,Test,"Tuesday, April 13",2021-05-13
4,Lachie Schultz,Concussion,Test,"Tuesday, April 13",2021-05-13
5,Alex Pearce,Knee,3-4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
6,Darcy Tucker,Hamstring,Test,"Tuesday, April 13",2021-05-13
7,Brandon Walker,Concussion,Test,"Tuesday, April 13",2021-05-13
8,Hayden Young,Hamstring,TBA,"Tuesday, April 13",2021-05-13
0,Jeremy Cameron,Hamstring,Test,"Tuesday, April 13",2021-05-13
1,Francis Evans,Ankle,TBC,"Tuesday, April 13",2021-05-13
2,Shaun Higgins,Thumb/hamstring,4-8 weeks,"Tuesday, April 13",2021-06-08 00:00:00
3,Sam Simpson,Quad,1-2 weeks,"Tuesday, April 13",2021-04-27 00:00:00
4,Cooper Stephens,Ankle,1-2 weeks,"Tuesday, April 13",2021-04-27 00:00:00
0,Charlie Ballard,Ankle,Test,"Tuesday, April 13",2021-05-13
1,Connor Budarick,Knee,Season,"Tuesday, April 13",2024-01-01 00:00:00
2,Matt Conroy,Knee,Season,"Tuesday, April 13",2024-01-01 00:00:00
3,Sam Day,Knee,TBC,"Tuesday, April 13",2021-05-13
4,Elijah Hollands,Knee,TBC,"Tuesday, April 13",2021-05-13
5,Sean Lemmens,Concussion,1 week,"Tuesday, April 13",2021-04-20 00:00:00
6,Matt Rowell,Knee,TBC,"Tuesday, April 13",2021-05-13
7,Zac Smith,Knee,2-3 weeks,"Tuesday, April 13",2021-05-04 00:00:00
8,Jacob Townsend,Face,4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
9,Rory Thompson,Knee,Season,"Tuesday, April 13",2024-01-01 00:00:00
10,Jarrod Witts,Knee,Season,"Tuesday, April 13",2024-01-01 00:00:00
0,Stephen Coniglio,Ankle,7-9 weeks,"Tuesday, April 13",2021-06-15 00:00:00
1,Phil Davis,Calf,5 weeks,"Tuesday, April 13",2021-05-18 00:00:00
2,Matt de Boer,Hamstring,9 weeks,"Tuesday, April 13",2021-06-15 00:00:00
3,Tom Hutchesson,Hamstring,6 weeks,"Tuesday, April 13",2021-05-25 00:00:00
4,Adam Kennedy,Shoulder,8-12 weeks,"Tuesday, April 13",2021-07-06 00:00:00
5,Daniel Lloyd,Quad,4-6 weeks,"Tuesday, April 13",2021-05-25 00:00:00
6,Harry Perryman,Glandular fever,1 week,"Tuesday, April 13",2021-04-20 00:00:00
7,Braydon Preuss,Shoulder,8-12 weeks,"Tuesday, April 13",2021-07-06 00:00:00
8,Lachie Whitfield,Liver,2 weeks,"Tuesday, April 13",2021-04-27 00:00:00
0,Will Day,Ankle,Indefinite,"Tuesday, April 13",2024-01-01 00:00:00
1,Denver Grainger-Barras,Knee,2-4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
2,Jack Gunston,Back,2-3 weeks,"Tuesday, April 13",2021-05-04 00:00:00
3,Daniel Howe,Shoulder,Test,"Tuesday, April 13",2021-05-13
4,Seamus Mitchell,Ankle,Indefinite,"Tuesday, April 13",2024-01-01 00:00:00
5,Jon Patton,Club investigation,Indefinite,"Tuesday, April 13",2024-01-01 00:00:00
6,James Sicily,Knee,Indefinite,"Tuesday, April 13",2024-01-01 00:00:00
0,James Harmes,Wrist,2 weeks,"Tuesday, April 13",2021-04-27 00:00:00
1,Marty Hore,Knee,Season,"Tuesday, April 13",2024-01-01 00:00:00
2,Steven May,Eye,2-4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
3,Aaron Nietschke,Knee,Season,"Tuesday, April 13",2024-01-01 00:00:00
0,Jed Anderson,Ankle,6-8 weeks,"Tuesday, April 13",2021-06-08 00:00:00
1,Charlie Comben,Leg,Indefinite,"Tuesday, April 13",2024-01-01 00:00:00
2,Aidan Corr,Toe,1-3 weeks,"Tuesday, April 13",2021-05-04 00:00:00
3,Trent Dumont,Calf,Test,"Tuesday, April 13",2021-05-13
4,Luke McDonald,Pectoral,10-12 weeks,"Tuesday, April 13",2021-07-06 00:00:00
5,Flynn Perez,Knee,Season,"Tuesday, April 13",2024-01-01 00:00:00
6,Jared Polec,Hamstring,TBC,"Tuesday, April 13",2021-05-13
7,Robbie Tarrant,Kidney,Indefinite,"Tuesday, April 13",2024-01-01 00:00:00
8,Josh Walker,Hamstring,Test,"Tuesday, April 13",2021-05-13
9,Cameron Zurhaar,Concussion,1-2 weeks,"Tuesday, April 13",2021-04-27 00:00:00
0,Riley Bonner,Hamstring,3-4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
1,Zak Butters,Ankle,TBC,"Tuesday, April 13",2021-05-13
2,Xavier Duursma,Knee,12-14 weeks,"Tuesday, April 13",2021-07-20 00:00:00
3,Orazio Fantasia,Ankle,Test,"Tuesday, April 13",2021-05-13
4,Tyson Goldsack,Knee,3-4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
5,Todd Marshall,Ankle,Test,"Tuesday, April 13",2021-05-13
6,Jake Pasini,Shoulder,10-11 weeks,"Tuesday, April 13",2021-06-29 00:00:00
7,Connor Rozee,Corked thigh,Test,"Tuesday, April 13",2021-05-13
0,Noah Cumberland,Knee,3-4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
1,Kamdyn McIntosh,Concussion,Test,"Tuesday, April 13",2021-05-13
2,Dion Prestia,Hamstring,2-3 weeks,"Tuesday, April 13",2021-05-04 00:00:00
3,Ivan Soldo,Knee,3 months,"Tuesday, April 13",2021-07-13 00:00:00
4,Nick Vlastuin,Knee,3-5 weeks,"Tuesday, April 13",2021-05-18 00:00:00
0,Ryan Byrnes,Hamstring,Test,"Tuesday, April 13",2021-05-13
1,James Frawley,Hamstring,3-4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
2,Jarryn Geary,Fractured leg,6-8 weeks,"Tuesday, April 13",2021-06-08 00:00:00
3,Jade Gresham,Achilles,Season,"Tuesday, April 13",2024-01-01 00:00:00
4,Dan Hannebery,Calf,4-8 weeks,"Tuesday, April 13",2021-06-08 00:00:00
5,Rowan Marshall,Foot,Test,"Tuesday, April 13",2021-05-13
6,Ben Paton,Broken leg,Season,"Tuesday, April 13",2024-01-01 00:00:00
0,Robbie Fox,Finger,2-4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
1,Isaac Heeney,Hand,2-3 weeks,"Tuesday, April 13",2021-05-04 00:00:00
2,Sam Naismith,Knee,TBC,"Tuesday, April 13",2021-05-13
3,Dane Rampe,Finger,3-4 weeks,"Tuesday, April 13",2021-05-11 00:00:00
4,Ben Ronke,Knee,TBC,"Tuesday, April 13",2021-05-13
